expression_skeleton,candidate_count,input_field_set_count,diagnostic_clue_count,example_expression
"Mul(CSRank(Delta(F,4)),Sign(Delta(F,4)))",29,29,1,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(mark_index_basis_bps,4)))"
"Mul(ZScore(F),Sign(Delta(F,4)))",26,26,6,"Mul(ZScore(index_close),Sign(Delta(mark_index_basis_bps,4)))"
"Mul(Clip(ZScore(Delta(F,4)),-3,3),Sign(Delta(F,4)))",26,26,4,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(mark_index_basis_bps,4)))"
"Mul(CSRank(F),Sign(Delta(F,4)))",26,26,3,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(taker_buy_quote_volume,4)))"
"Mul(Abs(Delta(F,4)),Sign(Delta(F,4)))",25,25,0,"Mul(Abs(Delta(index_close,4)),Sign(Delta(mark_index_basis_bps,4)))"
"Mul(Delta(F,4),ZScore(Delta(F,4)))",23,23,1,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(premium_close_bps,4)))"
"Sub(ZScore(Mean(F,4)),ZScore(Mean(F,16)))",21,21,2,"Sub(ZScore(Mean(mark_close,4)),ZScore(Mean(mark_close,16)))"
"Mul(Clip(ZScore(Delta(F,8)),-3,3),Sign(Delta(F,8)))",13,13,1,"Mul(Clip(ZScore(Delta(index_close,8)),-3,3),Sign(Delta(taker_buy_quote_volume,8)))"
CSRank(F),11,11,1,CSRank(mark_trade_basis_bps)
"Mul(Abs(Delta(F,24)),Sign(Delta(F,24)))",11,11,1,"Mul(Abs(Delta(index_close,24)),Sign(Delta(mark_index_basis_bps,24)))"
"Mul(Delta(F,24),ZScore(Delta(F,24)))",11,11,0,"Mul(Delta(mark_trade_basis_bps,24),ZScore(Delta(premium_close_bps,24)))"
"Mul(CSRank(Delta(F,8)),Sign(Delta(F,8)))",10,10,1,"Mul(CSRank(Delta(funding_rate,8)),Sign(Delta(history_length_hours,8)))"
"Mul(CSRank(Delta(F,24)),Sign(Delta(F,24)))",9,9,0,"Mul(CSRank(Delta(index_close,24)),Sign(Delta(open_interest_last,24)))"
"Mul(Delta(F,168),ZScore(Delta(F,168)))",9,9,0,"Mul(Delta(mark_trade_basis_bps,168),ZScore(Delta(source_market_funding,168)))"
ZScore(F),8,8,1,ZScore(mark_trade_basis_bps)
"CSRank(Delta(F,4))",8,8,0,"CSRank(Delta(mark_close,4))"
"Clip(ZScore(Delta(F,4)),-3,3)",8,8,0,"Clip(ZScore(Delta(mark_close,4)),-3,3)"
"Mul(CSRank(F),Sign(Delta(F,8)))",8,8,0,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(taker_buy_quote_volume,8)))"
"Mul(ZScore(F),Sign(Delta(F,8)))",8,8,0,"Mul(ZScore(index_close),Sign(Delta(open_interest_mean,8)))"
"Mul(Abs(Delta(F,168)),Sign(Delta(F,168)))",7,7,2,"Mul(Abs(Delta(funding_rate,168)),Sign(Delta(funding_rate_abs_168h,168)))"
"Mul(Clip(ZScore(Delta(F,24)),-3,3),Sign(Delta(F,24)))",7,7,1,"Mul(Clip(ZScore(Delta(index_close,24)),-3,3),Sign(Delta(realized_vol_168h,24)))"
"Mul(ZScore(F),Sign(Delta(F,24)))",6,6,3,"Mul(ZScore(taker_buy_sell_volume_ratio_last),Sign(Delta(trade_open,24)))"
"Abs(Delta(F,4))",6,6,0,"Abs(Delta(index_close,4))"
