input_type_key,candidate_count,diagnostic_clue_count,strict_clue_count,median_control_ratio,semantic_pair_count,operator_count
price_like,79,6,0,1.0871235996258313,8,7
liquidity_like|price_like,38,1,0,1.1082624125078833,8,7
funding_like,21,1,0,1.063260149887404,2,7
funding_like|liquidity_like,18,3,0,1.550263728516703,3,7
positioning_like,17,1,0,1.0002303149443486,2,5
liquidity_like|state_or_taxonomy,15,3,1,2.025073651462729,3,7
liquidity_like,15,1,0,1.0019910804535206,5,7
volatility_like,15,0,0,1.3170755652850956,2,7
basis_premium_like|price_like,13,3,0,1.05133803561754,2,7
positioning_like|price_like,13,1,0,1.4696195133597856,2,6
price_like|volatility_like,13,0,0,1.3707599196970237,3,6
basis_premium_like,12,4,0,1.004154337323003,2,3
liquidity_like|positioning_like,12,1,0,1.4178819577048651,2,6
funding_like|positioning_like,11,2,0,1.0134050146912652,1,7
funding_like|volatility_like,11,2,0,1.5210052503597775,1,7
positioning_like|volatility_like,9,0,0,2.878765507572493,1,5
funding_like|price_like,8,1,0,1.3453892175185977,1,7
liquidity_like|volatility_like,8,0,0,1.6102478299938274,2,7
generic_numeric|positioning_like,7,0,0,1.0065433369183534,1,4
positioning_like|state_or_taxonomy,6,2,0,1.0112882249361062,1,5
basis_premium_like|liquidity_like,6,1,0,1.9081956074155335,2,2
funding_like|generic_numeric,6,0,0,1.0246505032519098,1,6
funding_like|state_or_taxonomy,6,0,0,1.0615862267728855,1,6
state_or_taxonomy|volatility_like,6,0,0,1.3455189206246034,2,5
generic_numeric|state_or_taxonomy,4,1,0,3.3018964772764052,1,3
basis_premium_like|volatility_like,4,0,0,2.229583768052555,1,2
state_or_taxonomy,3,1,0,1.396741338160847,2,2
price_like|state_or_taxonomy,3,0,0,1.2807191814584131,1,3
basis_premium_like|funding_like,2,0,0,2.3591471184285084,1,1
basis_premium_like|positioning_like,2,0,0,2.183762236108715,1,2
basis_premium_like|state_or_taxonomy,1,0,0,5.06788083429199,1,1
