blueprint_id,core59_shard,core61_route,core61_reason,core61_blocked,semantic_pair,motif,label_family,label_horizon_h,decision,premay_positive_split_count,control_ratio,cost10,robust_ok,lag_ok,expression,search_permission,selector_eligible,dice_arm,queue_rows,activity_ok_rows,inactive_rows,median_finite_share,median_nonzero_share,repair_task,control_margin,cost10_positive,lag_fragile,control_clean,repair_score,core63_action,core63_selected_for_retest
a7ff24r_2809983f46ab7d37,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_one_bar_lag_fragile,False,basis_premium_like|basis_premium_like,sub,L5_vol_adjusted_return,1.0,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,3.0,0.1643873670885244,0.1257863594484416,True,False,"Sub(mark_index_basis_bps,Mean(premium_close_bps,4))",diagnostic_only,True,CORE62B_target_near_miss_repair,,,,,,,0.8356126329114756,True,True,True,0.8764701493218843,entry_lag_repair_numeric_retest,True
a7ff24r_55f0d29bc064638b,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_one_bar_lag_fragile,False,basis_premium_like|volatility_like,safe_div_abs,L5_vol_adjusted_return,1.0,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,3.0,0.2112478072117489,0.1030699557272296,True,False,"SafeDiv(mark_index_basis_bps,Abs(ZScore(Mean(realized_vol_168h,2))))",repair_only,True,CORE62B_target_near_miss_repair,,,,,,,0.788752192788251,True,True,True,0.8396956135637049,entry_lag_repair_numeric_retest,True
a7ff24r_0bb7454738389fdf,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_one_bar_lag_fragile,False,basis_premium_like|price_like,safe_div_abs,L5_vol_adjusted_return,1.0,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,3.0,0.2159737407035396,0.1037131383113903,True,False,"SafeDiv(mark_index_basis_bps,Abs(Mean(trade_return_1h,8)))",repair_only,True,CORE62B_target_near_miss_repair,,,,,,,0.7840262592964604,True,True,True,0.8389210161003284,entry_lag_repair_numeric_retest,True
a7ff24r_fad5886189793630,s03,CORE62B_target_near_miss_repair_dryrun,near_miss_one_bar_lag_fragile,False,basis_premium_like,single,L5_vol_adjusted_return,1.0,HOLD_A7FFCORE59S03_ONE_BAR_LAG_FRAGILE,3.0,0.3319023593812707,0.1345805605048653,True,False,"Delta(mark_index_basis_bps,8)",diagnostic_only,True,CORE62B_target_near_miss_repair,,,,,,,0.6680976406187293,True,True,True,0.8350098526904841,entry_lag_repair_numeric_retest,True
a7ff24r_0b842e7d57714bb0,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_one_bar_lag_fragile,False,basis_premium_like|volatility_like,gated_sign,L5_vol_adjusted_return,1.0,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,3.0,0.3319023593812707,0.1345805605048653,True,False,"Mul(Delta(mark_index_basis_bps,8),Sign(realized_vol_24h))",repair_only,True,CORE62B_target_near_miss_repair,,,,,,,0.6680976406187293,True,True,True,0.8350098526904841,entry_lag_repair_numeric_retest,True
a7ff24r_5e93346f70a68d33,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_one_bar_lag_fragile,False,basis_premium_like|volatility_like,gated_sign,L5_vol_adjusted_return,1.0,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,3.0,0.3319023593812707,0.1345805605048653,True,False,"Mul(Delta(mark_index_basis_bps,8),Sign(realized_vol_168h))",repair_only,True,CORE62B_target_near_miss_repair,,,,,,,0.6680976406187293,True,True,True,0.8350098526904841,entry_lag_repair_numeric_retest,True
a7ff24r_52a6ae8f1116e35c,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_one_bar_lag_fragile,False,basis_premium_like|price_like,safe_div_abs,L5_vol_adjusted_return,1.0,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,3.0,0.1886055611779316,0.0898997337546267,True,False,"SafeDiv(mark_index_basis_bps,Abs(ZScore(Mean(trade_return_1h,8))))",repair_only,True,CORE62B_target_near_miss_repair,,,,,,,0.8113944388220684,True,True,True,0.8333180654012472,entry_lag_repair_numeric_retest,True
a7ff24r_58cd9af618657156,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_one_bar_lag_fragile,False,basis_premium_like|volatility_like,mul,L5_vol_adjusted_return,1.0,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,3.0,0.2202513726988513,0.0946702745907906,True,False,"Mul(Delta(mark_index_basis_bps,2),realized_vol_24h)",repair_only,True,CORE62B_target_near_miss_repair,,,,,,,0.7797486273011487,True,True,True,0.8285948627811351,entry_lag_repair_numeric_retest,True
a7ff24r_41899ad2dd939b91,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_one_bar_lag_fragile,False,basis_premium_like|price_like,safe_div_abs,L5_vol_adjusted_return,1.0,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,3.0,0.2965893153888131,0.1091715814262274,True,False,"SafeDiv(mark_index_basis_bps,Abs(Mean(trade_return_1h,12)))",repair_only,True,CORE62B_target_near_miss_repair,,,,,,,0.7034106846111869,True,True,True,0.8201947868095835,entry_lag_repair_numeric_retest,True
a7ff24r_16a015591ba6cab1,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_one_bar_lag_fragile,False,basis_premium_like|basis_premium_like,spread_rank,L5_vol_adjusted_return,1.0,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,3.0,0.2335553123085419,0.0831496531668015,True,False,"Sub(CSRank(mark_index_basis_bps),CSRank(Mean(premium_close_bps,8)))",diagnostic_only,True,CORE62B_target_near_miss_repair,,,,,,,0.7664446876914581,True,True,True,0.8130830594742389,entry_lag_repair_numeric_retest,True
