group,gate,pass,value,threshold
semantic,raw_unique_expr_ratio,False,0.8502445220947266,0.9
semantic,effective_unique_ratio_after_horizon_bucketing,False,0.8148708343505859,0.85
semantic,simplified_effective_unique_ratio_after_bucket,True,0.8148708343505859,0.75
horizon,max_window,True,97.0,144
horizon,p95_window,True,96.0,96
horizon,p50_window,True,36.0,
horizon,horizon_bucket_count,True,6.0,6
horizon,continuous_window_inflation_flag,True,23.0,144
economic,economic_cell_unique_ratio,True,1.0,0.8
economic,top_economic_motif_share,True,0.0009765625,0.1
economic,top_feature_family_operator_horizon_triple_share,True,0.00390625,0.08
economic,feature_family_set_count,True,16.0,16.0
economic,operator_motif_count,True,24.0,24.0
economic,horizon_class_count,True,10.0,10.0
fold_feasibility,F0_validation_2025H1_p05_effective_sample_rate,True,0.9776536312849162,0.6
fold_feasibility,F0_recent_2025H2_2026Apr_p05_effective_sample_rate,True,0.9867549668874173,0.6
fold_feasibility,F1_high_realized_vol_p05_effective_sample_rate,True,0.972278371354317,0.6
fold_feasibility,F2_low_liquidity_p05_effective_sample_rate,True,0.972278371354317,0.6
fold_feasibility,F3_high_liquidity_high_vol_p05_effective_sample_rate,True,0.9712660879976055,0.6
fold_feasibility,F4_basis_dislocation_p05_effective_sample_rate,True,0.972278371354317,0.6
fold_feasibility,F5_funding_neutral_p05_effective_sample_rate,True,0.9833766233766233,0.6
fold_feasibility,F6_cross_symbol_dispersion_p05_effective_sample_rate,True,0.972278371354317,0.6
fold_feasibility,F7_trend_reversal_p05_effective_sample_rate,True,0.9770224988032551,0.6
fold_feasibility,F8_low_vol_high_liquidity_p05_effective_sample_rate,True,0.799163179916318,0.6
fold_feasibility,F9_liquidity_shock_p05_effective_sample_rate,True,0.9667359667359667,0.6
fold_feasibility,F10_volatility_compression_p05_effective_sample_rate,True,0.9762435040831478,0.6
fold_feasibility,F11_cross_symbol_crowding_p05_effective_sample_rate,True,0.972278371354317,0.6
