semantic_pair,motif,parent_label_family,rows
open_interest_like|positioning_like|regime_state,seed_gated_sign,L3_liquidity_tier_relative_return,1536
open_interest_like|positioning_like|listing_age_like,seed_sub,L3_liquidity_tier_relative_return,878
basis_premium_like|positioning_like,spread_rank,L3_liquidity_tier_relative_return,382
basis_premium_like|positioning_like,mean_reversion_gate,L5_vol_adjusted_return,370
basis_premium_like|positioning_like,sub,L5_vol_adjusted_return,309
basis_premium_like|positioning_like,signed_spread,L3_liquidity_tier_relative_return,300
open_interest_like|positioning_like,smooth_mul,L5_vol_adjusted_return,241
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L1_cross_sectional_relative_return,194
basis_premium_like|positioning_like,safe_div_abs,L3_liquidity_tier_relative_return,161
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L0_raw_forward_return,139
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L3_liquidity_tier_relative_return,126
basis_premium_like|positioning_like,safe_div_abs,L1_cross_sectional_relative_return,126
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L3_liquidity_tier_relative_return,126
basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,125
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L1_cross_sectional_relative_return,119
open_interest_like|positioning_like|listing_age_like,seed_sub,L0_raw_forward_return,112
basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,112
basis_premium_like|positioning_like,signed_spread,L0_raw_forward_return,107
basis_premium_like|positioning_like,mean_reversion_gate,L3_liquidity_tier_relative_return,91
open_interest_like|positioning_like,safe_div_abs,L1_cross_sectional_relative_return,86
open_interest_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,75
open_interest_like|positioning_like,safe_div_abs,L0_raw_forward_return,66
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L0_raw_forward_return,64
basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,62
basis_premium_like|positioning_like,safe_div_abs,L0_raw_forward_return,62
open_interest_like|positioning_like|listing_age_like,seed_sub,L1_cross_sectional_relative_return,34
basis_premium_like|positioning_like,spread_rank,L0_raw_forward_return,34
basis_premium_like|positioning_like,signed_spread,L1_cross_sectional_relative_return,32
basis_premium_like|positioning_like,signed_spread,L5_vol_adjusted_return,31
open_interest_like|positioning_like,safe_div_abs,L3_liquidity_tier_relative_return,29
open_interest_like|positioning_like,smooth_mul,L1_cross_sectional_relative_return,15
