semantic_pair,label_family,seed_rows
low_prior_axes|basis_premium_like,L5_vol_adjusted_return,10
basis_premium_like,L5_vol_adjusted_return,8
price_like,L5_vol_adjusted_return,2
basis_premium_like,L3_liquidity_tier_relative_return,2
basis_premium_like,L1_cross_sectional_relative_return,1
basis_premium_like,L0_raw_forward_return,1
listing_age_like,L3_liquidity_tier_relative_return,1
listing_age_like,L1_cross_sectional_relative_return,1
open_interest_like,L3_liquidity_tier_relative_return,1
volatility_like,L3_liquidity_tier_relative_return,1
