source_shard,path,rows,numeric_clue_rows,selected_portfolio_rows,available
S00,runtime\a7ff53e_numeric_response_execution_s00\a7ff53e_s00_label_response_metrics.csv,3000,77,24,True
S01P,runtime\a7ff55d_selector_repair_inputs_s01p\a7ff55d_s01p_label_response_metrics.csv,1800,7,4,True
S02P00,runtime\a7ff55f_selector_repair_inputs_s02p00\a7ff55f_s02p00_label_response_metrics.csv,600,0,0,True
S02P01,runtime\a7ff55f_selector_repair_inputs_s02p01\a7ff55f_s02p01_label_response_metrics.csv,600,0,0,True
S02P02,runtime\a7ff55f_selector_repair_inputs_s02p02\a7ff55f_s02p02_label_response_metrics.csv,600,3,1,True
S03P00,runtime\a7ff55f_selector_repair_inputs_s03p00\a7ff55f_s03p00_label_response_metrics.csv,600,2,1,True
S03P01,runtime\a7ff55f_selector_repair_inputs_s03p01\a7ff55f_s03p01_label_response_metrics.csv,600,1,1,True
S03P02,runtime\a7ff55f_selector_repair_inputs_s03p02\a7ff55f_s03p02_label_response_metrics.csv,600,6,3,True
S04P00,runtime\a7ff55f_selector_repair_inputs_s04p00\a7ff55f_s04p00_label_response_metrics.csv,600,20,6,True
S04P01,runtime\a7ff55f_selector_repair_inputs_s04p01\a7ff55f_s04p01_label_response_metrics.csv,600,19,4,True
S04P02,runtime\a7ff55f_selector_repair_inputs_s04p02\a7ff55f_s04p02_label_response_metrics.csv,600,11,3,True
S05P00,runtime\a7ff55f_selector_repair_inputs_s05p00\a7ff55f_s05p00_label_response_metrics.csv,600,3,1,True
S05P01,runtime\a7ff55f_selector_repair_inputs_s05p01\a7ff55f_s05p01_label_response_metrics.csv,600,3,1,True
S05P02,runtime\a7ff55f_selector_repair_inputs_s05p02\a7ff55f_s05p02_label_response_metrics.csv,600,0,0,True
S06P00,runtime\a7ff55f_selector_repair_inputs_s06p00\a7ff55f_s06p00_label_response_metrics.csv,600,0,0,True
S06P01,runtime\a7ff55f_selector_repair_inputs_s06p01\a7ff55f_s06p01_label_response_metrics.csv,600,0,0,True
S06P02,runtime\a7ff55f_selector_repair_inputs_s06p02\a7ff55f_s06p02_label_response_metrics.csv,600,0,0,True
