field,usages,activity_ok_rows,inactive_rows,eval_fail_rows,median_finite_share,median_nonzero_share,activity_ok_rate
funding_rate,373,0,373,0,0.0006703054677774,0.9581056466302368,0.0
index_close,218,0,218,0,0.0006703054677774,0.9581056466302368,0.0
mark_close,142,0,142,0,0.0006762903380254,0.6748096807181002,0.0
global_long_short_account_ratio_last,9,0,9,0,0.0033245954227712,0.999083409715857,0.0
global_long_short_account_ratio_mean,4,0,4,0,0.0,0.0,0.0
premium_close_bps,411,301,110,0,0.993105429474289,0.959231579955926,0.732360097323601
mark_index_basis_bps,522,396,126,0,0.993105429474289,0.9874634547769807,0.7586206896551724
realized_vol_168h,179,145,34,0,0.8253375466819879,0.9888954060943111,0.8100558659217877
realized_vol_24h,151,123,28,0,0.8253375466819879,0.9890314569536424,0.8145695364238411
trade_return_1h,336,276,60,0,0.9941108876759552,0.9879436036117766,0.8214285714285714
