semantic_pair,motif,queue_rows,activity_ok_rows,inactive_rows,eval_fail_rows,median_finite_share,median_nonzero_share,median_std_value,activity_ok_rate
basis_premium_like|funding_like,relative_shock,216,0,216,0,0.0031450493153308,0.6217926980897479,8.648682038906914e-05,0.0
basis_premium_like|funding_like,mean_reversion_gate,144,0,144,0,0.0006703054677774,1.0,0.7071067811865476,0.0
funding_like|positioning_like,gated_sign,13,0,13,0,0.0032647467202911,0.9007155635062611,0.0010018093600559499,0.0
basis_premium_like|basis_premium_like,sub,23,10,13,0,0.0,0.0,13.735185901195392,0.43478260869565216
basis_premium_like|basis_premium_like,mul,29,17,12,0,0.9965527147371444,0.6640122033246854,2261.277337345108,0.5862068965517241
basis_premium_like|volatility_like,safe_div_abs,5,3,2,0,0.8253375466819879,0.6723662837916231,5593.897810034156,0.6
basis_premium_like|basis_premium_like,spread_rank,45,29,16,0,0.9965527147371444,0.968267663694756,0.3106460872525102,0.6444444444444445
basis_premium_like|basis_premium_like,safe_div_abs,15,10,5,0,0.6625790002872738,0.9933359352487808,176.89840612097146,0.6666666666666666
basis_premium_like|basis_premium_like,gated_sign,22,15,7,0,0.9975581729388107,0.6641052404261445,14.094161297396576,0.6818181818181818
price_like|volatility_like,mul,7,5,2,0,0.8253375466819879,0.964072833275322,0.0223628310957982,0.7142857142857143
basis_premium_like|price_like,smooth_mul,95,71,24,0,0.9936799770180984,0.9998919619706136,2.330929217806303,0.7473684210526316
basis_premium_like|volatility_like,smooth_mul,29,22,7,0,0.824475725366274,1.0,0.03011324481166095,0.7586206896551724
basis_premium_like|volatility_like,mul,46,35,11,0,0.8257684573398448,0.8322736089816727,0.2736309394246809,0.7608695652173914
basis_premium_like|basis_premium_like,smooth_mul,66,51,15,0,0.9956908934214306,0.9932889738411232,62.825194174132896,0.7727272727272727
basis_premium_like|volatility_like,spread_rank,74,58,16,0,0.8253375466819879,0.9891497702484856,0.4116018068584189,0.7837837837837838
price_like|volatility_like,spread_rank,24,19,5,0,0.8259120942257971,0.9876547052571036,0.4132346570043816,0.7916666666666666
basis_premium_like|price_like,safe_div_abs,26,21,5,0,0.9630344489131476,0.9874319980614215,12775.810543617985,0.8076923076923077
basis_premium_like|volatility_like,gated_sign,44,36,8,0,0.8253375466819879,0.9871004153988412,10.152044506864183,0.8181818181818182
volatility_like|volatility_like,smooth_mul,11,9,2,0,0.824475725366274,1.0,0.0241300189054315,0.8181818181818182
volatility_like|volatility_like,spread_rank,11,9,2,0,0.8253375466819879,0.954407635753155,0.2131236159927886,0.8181818181818182
basis_premium_like|price_like,spread_rank,62,51,11,0,0.9972708991669059,0.9880811079948648,0.4063492365084389,0.8225806451612904
basis_premium_like|price_like,mul,34,29,5,0,0.9975581729388107,0.9551101183118188,1.2687108224261314,0.8529411764705882
basis_premium_like|volatility_like,sub,15,13,2,0,0.8264866417696064,1.0,0.9959970669424724,0.8666666666666667
basis_premium_like|price_like,gated_sign,38,33,5,0,0.9969836253950014,0.9632921473344613,13.49050190422813,0.868421052631579
basis_premium_like|price_like,sub,27,25,2,0,0.9979890835966676,0.9995502302820956,12.968377805337544,0.9259259259259259
price_like|volatility_like,smooth_mul,15,14,1,0,0.824475725366274,0.9993118335651368,0.01379097605016955,0.9333333333333333
basis_premium_like,single,38,36,2,0,0.9933927032461936,1.0,0.9947780321927768,0.9473684210526315
volatility_like,single,14,14,0,0,0.8273484630853203,1.0,0.7749395355402948,1.0
price_like|volatility_like,gated_sign,4,4,0,0,0.8253375466819879,1.0,0.01165054917952935,1.0
price_like,single,3,3,0,0,0.9994254524561909,1.0,0.2886297318846671,1.0
price_like|volatility_like,sub,1,1,0,0,0.8273484630853203,1.0,0.0129138293534726,1.0
volatility_like|volatility_like,gated_sign,1,1,0,0,0.8273484630853203,1.0,0.0054143246873734,1.0
volatility_like|volatility_like,mul,1,1,0,0,0.8273484630853203,1.0,0.0002349499073549,1.0
volatility_like|volatility_like,safe_div_abs,1,1,0,0,0.8273484630853203,1.0,0.4962203097386972,1.0
volatility_like|volatility_like,sub,1,1,0,0,0.8273484630853203,1.0,0.0050884422730476,1.0
