semantic_pair,decision,count
basis_premium_like,A7FF10S00_NUMERIC_CLUE,27
basis_premium_like,A7FF10S00_RANK_LABEL_DIAGNOSTIC_CLUE,6
basis_premium_like,HOLD_A7FF10S00_CONTROL_DOMINATED,101
basis_premium_like,HOLD_A7FF10S00_COST2_PROXY_FRAGILE,1
basis_premium_like,HOLD_A7FF10S00_ONE_BAR_LAG_FRAGILE,35
basis_premium_like,HOLD_A7FF10S00_PRE_MAY_UNSTABLE,130
basis_premium_like|positioning_like,A7FF10S00_NUMERIC_CLUE,60
basis_premium_like|positioning_like,A7FF10S00_RANK_LABEL_DIAGNOSTIC_CLUE,8
basis_premium_like|positioning_like,HOLD_A7FF10S00_CONTROL_DOMINATED,284
basis_premium_like|positioning_like,HOLD_A7FF10S00_COST2_PROXY_FRAGILE,2
basis_premium_like|positioning_like,HOLD_A7FF10S00_ONE_BAR_LAG_FRAGILE,73
basis_premium_like|positioning_like,HOLD_A7FF10S00_PRE_MAY_UNSTABLE,1193
