shard,rows,eval_success,activity_ok,finite_share_median,nonzero_share_median
00,200,200,157,0.9959781671933352,0.9683004466209717
01,200,200,149,0.9965527147371444,0.9692136694987887
02,200,200,167,0.9959781671933352,0.957877012317419
03,200,200,156,0.9936799770180984,0.999365100960623
04,200,200,166,0.827204826199368,0.9880997360959094
05,200,200,169,0.8253375466819879,0.987077668275506
06,200,200,165,0.8253375466819879,0.9895019047363501
07,200,200,170,0.827204826199368,0.9993086945603462
08,200,200,0,0.0006703054677774,1.0
09,200,200,0,0.0006703054677774,1.0
10,200,200,0,0.0006463659867854,0.0
11,200,200,0,0.0032647467202911,0.9590709886193871
