normalized_decision,label_family,count
A7FF25R3_NUMERIC_CLUE,L0_raw_forward_return,89
A7FF25R3_NUMERIC_CLUE,L1_cross_sectional_relative_return,90
A7FF25R3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,99
A7FF25R3_NUMERIC_CLUE,L5_vol_adjusted_return,109
A7FF25R3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,770
HOLD_A7FF25R3_CONTROL_DOMINATED,L0_raw_forward_return,1258
HOLD_A7FF25R3_CONTROL_DOMINATED,L1_cross_sectional_relative_return,1257
HOLD_A7FF25R3_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,1280
HOLD_A7FF25R3_CONTROL_DOMINATED,L5_vol_adjusted_return,1122
HOLD_A7FF25R3_CONTROL_DOMINATED,L7_ranked_future_return,2091
HOLD_A7FF25R3_COST2_PROXY_FRAGILE,L0_raw_forward_return,8
HOLD_A7FF25R3_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,9
HOLD_A7FF25R3_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,14
HOLD_A7FF25R3_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,85
HOLD_A7FF25R3_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,84
HOLD_A7FF25R3_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,96
HOLD_A7FF25R3_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,146
HOLD_A7FF25R3_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,279
HOLD_A7FF25R3_PRE_MAY_UNSTABLE,L0_raw_forward_return,3756
HOLD_A7FF25R3_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,3756
HOLD_A7FF25R3_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,3707
HOLD_A7FF25R3_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,3819
HOLD_A7FF25R3_PRE_MAY_UNSTABLE,L7_ranked_future_return,2056
