semantic_pair,decision,count
basis_premium_like,A7FF28A_NUMERIC_CLUE,8
basis_premium_like,A7FF28A_RANK_LABEL_DIAGNOSTIC_CLUE,2
basis_premium_like,HOLD_A7FF28A_CONTROL_DOMINATED,4
basis_premium_like,HOLD_A7FF28A_ONE_BAR_LAG_FRAGILE,1
basis_premium_like,HOLD_A7FF28A_PRE_MAY_UNSTABLE,5
basis_premium_like|basis_premium_like,A7FF28A_NUMERIC_CLUE,7
basis_premium_like|basis_premium_like,A7FF28A_RANK_LABEL_DIAGNOSTIC_CLUE,4
basis_premium_like|basis_premium_like,HOLD_A7FF28A_CONTROL_DOMINATED,16
basis_premium_like|basis_premium_like,HOLD_A7FF28A_ONE_BAR_LAG_FRAGILE,6
basis_premium_like|basis_premium_like,HOLD_A7FF28A_PRE_MAY_UNSTABLE,47
basis_premium_like|volatility_like,A7FF28A_NUMERIC_CLUE,15
basis_premium_like|volatility_like,A7FF28A_RANK_LABEL_DIAGNOSTIC_CLUE,4
basis_premium_like|volatility_like,HOLD_A7FF28A_CONTROL_DOMINATED,17
basis_premium_like|volatility_like,HOLD_A7FF28A_ONE_BAR_LAG_FRAGILE,5
basis_premium_like|volatility_like,HOLD_A7FF28A_PRE_MAY_UNSTABLE,19
