blueprint_id,root_subgraph_id,expression,level,candidate_role,semantic_pair,motif,skeleton_key,production_key
a7ff55r3_bbbd5285e33d0ad8,sg_78d6f5b9acd92892,open_interest_last,L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_ca36cd3eaf5a3a94,prod_bbed286d580956df
a7ff55r3_1e3b86a259d800e6,sg_384b8221a0d8163b,"Delta(open_interest_last,4)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_802bd60c79b560b7
a7ff55r3_975ba475a2fd2db7,sg_9882c7f0f588c6a0,"Mean(open_interest_last,4)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_f90e652870ea376d
a7ff55r3_10367d55d99f826b,sg_ea7430c41a204a35,"ZScore(Mean(open_interest_last,4))",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_a311ee3fdacdeca2,prod_c861159160905671
a7ff55r3_ee6bbabd05eab8e3,sg_baf96e112aecc3a1,"Delta(open_interest_last,8)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_7e0a7071bc6dfc74
a7ff55r3_cac8e24a9e935b66,sg_d8873141d3a6c570,"Mean(open_interest_last,8)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_4503e957b217aa7f
a7ff55r3_a5a3fcbe929ec068,sg_f704cff818be7f9f,"ZScore(Mean(open_interest_last,8))",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_a311ee3fdacdeca2,prod_7c3c4b249d75b995
a7ff55r3_a381e1136fa161f1,sg_e198e96b1ffa8649,"Delta(open_interest_last,24)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_e429bfb85c701ecd
a7ff55r3_f779a6623a3e6b14,sg_92ac72023cd18b98,"Mean(open_interest_last,24)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_b328e6194f5f41d3
a7ff55r3_4497feb0aa82f077,sg_000688e0792b95b9,"ZScore(Mean(open_interest_last,24))",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_a311ee3fdacdeca2,prod_fb2f7c01646523d2
a7ff55r3_f9c3d40b559fdadb,sg_732c6b1df587fc1e,"Delta(open_interest_last,72)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_520eca926d9ac6e0
a7ff55r3_05b974fe9b6bf7ab,sg_a96e3944781d3269,"Mean(open_interest_last,72)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_4b9c9b1da474b238
a7ff55r3_9bcab10e5f535ab9,sg_84e9d513e91e0776,open_interest_mean,L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_ca36cd3eaf5a3a94,prod_194be9c07ff852e7
a7ff55r3_31132f2aa9d3db5f,sg_374035170a28e6c5,"Delta(open_interest_mean,4)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_7169ecb5273c88a5
a7ff55r3_ecd01d6f21278257,sg_c2f22fb1b3ddcaed,"Mean(open_interest_mean,4)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_b71a693e701c2200
a7ff55r3_7b59b15010ae9a3b,sg_5777153b7ca711b2,"ZScore(Mean(open_interest_mean,4))",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_a311ee3fdacdeca2,prod_7a6c9d26e09df7fb
a7ff55r3_948ad19e998498a3,sg_677617067abd1520,"Delta(open_interest_mean,8)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_cb570e2ccd7f3dd6
a7ff55r3_842cef66e3e7a1b8,sg_5bee1092db44b6dc,"Mean(open_interest_mean,8)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_cd281a43ad3cbb79
a7ff55r3_9e63fe3bd75e0bb9,sg_57ad8f06f9036ee6,"ZScore(Mean(open_interest_mean,8))",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_a311ee3fdacdeca2,prod_7d20e477969663a4
a7ff55r3_5140d6cd7f030778,sg_2243ba0624ad441f,"Delta(open_interest_mean,24)",L1_repaired_single_field_transform,exploratory_signal_probe,open_interest_like,single,skel_1d39996e97d5ace0,prod_acba66ba2cacd2c2
