field_name,field_family,source_family,feature_class,transform,label_family,label_horizon_h,control_ratio_premay_max,lag_ok,premay_all_positive,resolution,semantic_role,enforcement_status,promotion_decision
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L7_ranked_future_return,1,0.2543170677185504,True,True,resolved,diagnostic_rank_or_nonordinary_signal,OK_DIAGNOSTIC_OR_REGIME,HOLD_L7_ONLY
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L7_ranked_future_return,4,0.2675451847919714,True,True,resolved,diagnostic_rank_or_nonordinary_signal,OK_DIAGNOSTIC_OR_REGIME,HOLD_L7_ONLY
trade_return_1h,price_return,derived_replay_base,derived_rolling,cs_rank,L7_ranked_future_return,1,0.2543170677185504,True,True,resolved,diagnostic_rank_or_nonordinary_signal,OK_DIAGNOSTIC_OR_REGIME,HOLD_L7_ONLY
trade_return_1h,price_return,derived_replay_base,derived_rolling,cs_rank,L7_ranked_future_return,4,0.2675451847919714,True,True,resolved,diagnostic_rank_or_nonordinary_signal,OK_DIAGNOSTIC_OR_REGIME,HOLD_L7_ONLY
realized_vol_24h,volatility,trade_ohlcv,derived_rolling,level,L7_ranked_future_return,1,0.939507952084472,True,True,resolved,diagnostic_rank_or_nonordinary_signal,OK_DIAGNOSTIC_OR_REGIME,HOLD_L7_ONLY
realized_vol_24h,volatility,trade_ohlcv,derived_rolling,cs_rank,L7_ranked_future_return,1,0.939507952084472,True,True,resolved,diagnostic_rank_or_nonordinary_signal,OK_DIAGNOSTIC_OR_REGIME,HOLD_L7_ONLY
realized_vol_168h,volatility,trade_ohlcv,derived_rolling,level,L7_ranked_future_return,1,0.8794980260372742,True,True,resolved,diagnostic_rank_or_nonordinary_signal,OK_DIAGNOSTIC_OR_REGIME,HOLD_L7_ONLY
realized_vol_168h,volatility,trade_ohlcv,derived_rolling,cs_rank,L7_ranked_future_return,1,0.8794980260372742,True,True,resolved,diagnostic_rank_or_nonordinary_signal,OK_DIAGNOSTIC_OR_REGIME,HOLD_L7_ONLY
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_24h,L7_ranked_future_return,1,0.7914377201455718,True,True,resolved,diagnostic_rank_or_nonordinary_signal,OK_DIAGNOSTIC_OR_REGIME,HOLD_L7_ONLY
mark_index_basis_bps,basis_premium,mark_index_premium,raw_source,delta_24h,L0_raw_forward_return,1,0.7857862638470475,True,True,resolved,ordinary_signal_candidate,OK_ORDINARY_ALPHA,PROMOTE_ORDINARY_ALPHA_SEED
mark_index_basis_bps,basis_premium,mark_index_premium,raw_source,delta_24h,L1_cross_sectional_relative_return,1,0.7857862638470471,True,True,resolved,ordinary_signal_candidate,OK_ORDINARY_ALPHA,PROMOTE_ORDINARY_ALPHA_SEED
