policy_scope,key,action,reason,candidate_count,median_control_ratio,median_positive_split_count
semantic_pair,basis_premium_like|price_like,downweight_or_block_as_alpha,median_control_ratio_ge_1|premay_split_instability|cost5_nonpositive,32,1.4554381840387802,1.0
semantic_pair,basis_premium_like|volatility_like,downweight_or_block_as_alpha,median_control_ratio_ge_1|cost5_nonpositive,27,1.343822477132067,2.0
semantic_pair,basis_premium_like|basis_premium_like,downweight_or_block_as_alpha,median_control_ratio_ge_1|premay_split_instability|cost5_nonpositive,24,1.2050475300443333,1.0
semantic_pair,price_like|volatility_like,downweight_or_block_as_alpha,median_control_ratio_ge_1|cost5_nonpositive,10,1.3218086883043583,2.0
semantic_pair,basis_premium_like,downweight_or_block_as_alpha,median_control_ratio_ge_1|cost5_nonpositive,8,1.0,2.0
semantic_pair,price_like,downweight_or_block_as_alpha,median_control_ratio_ge_1|cost5_nonpositive,6,1.795189959219914,2.0
semantic_pair,basis_premium_like|positioning_like,downweight_or_block_as_alpha,median_control_ratio_ge_1|cost5_nonpositive,4,1.0155684878604208,3.0
semantic_pair,liquidity_like|volatility_like,downweight_or_block_as_alpha,median_control_ratio_ge_1|premay_split_instability|cost5_nonpositive,2,1.6864929577293797,1.0
semantic_pair,volatility_like,downweight_or_block_as_alpha,median_control_ratio_ge_1|premay_split_instability|cost5_nonpositive,1,1.4190788875785074,1.0
motif,safe_div_abs,downweight_or_block_as_alpha,median_control_ratio_ge_1|premay_split_instability,38,1.4391388982034774,1.0
motif,mul,downweight_or_block_as_alpha,median_control_ratio_ge_1,17,1.7846737309012402,2.0
motif,single,downweight_or_block_as_alpha,median_control_ratio_ge_1,15,1.1024760150089565,2.0
motif,gated_sign,downweight_or_block_as_alpha,median_control_ratio_ge_1,14,1.0771009749483993,2.0
motif,sub,downweight_or_block_as_alpha,median_control_ratio_ge_1,12,1.0061543215137365,2.0
motif,spread_rank,downweight_or_block_as_alpha,median_control_ratio_ge_1,11,1.0093439523805867,3.0
motif,smooth_mul,downweight_or_block_as_alpha,median_control_ratio_ge_1,6,1.643025647816731,2.0
motif,signed_spread,downweight_or_block_as_alpha,median_control_ratio_ge_1|premay_split_instability,1,1.7662527549968539,1.0
