label_family,label_horizon_h,decision,row_count,candidate_count,median_control_ratio,median_positive_split_count,max_recent_spread,median_cost5_recent
L3_liquidity_relative,1,HOLD_CORE56_PREMAY_UNSTABLE,114,114,,0.0,,
L3_liquidity_relative,4,HOLD_CORE56_PREMAY_UNSTABLE,114,114,,0.0,,
L3_liquidity_relative,8,HOLD_CORE56_PREMAY_UNSTABLE,114,114,,0.0,,
L3_liquidity_relative,24,HOLD_CORE56_PREMAY_UNSTABLE,114,114,,0.0,,
L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED,97,97,1.0019670004862091,3.0,0.0979444642224116,0.0259371346948146
L0_raw,1,HOLD_CORE56_CONTROL_DOMINATED,87,87,1.0022686783083328,3.0,0.0010183726022488,-0.0007154762041173
L0_raw,24,HOLD_CORE56_PREMAY_UNSTABLE,87,87,1.5101344267928394,1.0,0.0015127648318926,-0.0020595635154699
L1_xs,1,HOLD_CORE56_CONTROL_DOMINATED,87,87,1.0022686785209454,3.0,0.0010183725957839,-0.0007154762082069
L1_xs,24,HOLD_CORE56_PREMAY_UNSTABLE,87,87,1.510134371724271,1.0,0.0015127648503137,-0.0020595635169139
L5_vol_adjusted,24,HOLD_CORE56_PREMAY_UNSTABLE,86,86,2.525301150719355,1.0,0.1940201605225453,-0.0609826449476557
L0_raw,8,HOLD_CORE56_PREMAY_UNSTABLE,72,72,1.3977388035854568,1.0,0.0017235061904869,-0.0016677340063562499
L1_xs,8,HOLD_CORE56_PREMAY_UNSTABLE,72,72,1.3977387971854653,1.0,0.0017235061961593,-0.0016677340086295
L5_vol_adjusted,8,HOLD_CORE56_PREMAY_UNSTABLE,72,72,2.7081051008402968,1.0,0.0846985493709047,-0.045160788985175004
L0_raw,4,HOLD_CORE56_PREMAY_UNSTABLE,68,68,1.6534220272622813,1.0,0.0008924674950747,-0.0013602131284864
L1_xs,4,HOLD_CORE56_PREMAY_UNSTABLE,68,68,1.6534220549073213,1.0,0.0008924675033955,-0.0013602131307066
L5_vol_adjusted,4,HOLD_CORE56_CONTROL_DOMINATED,58,58,1.002811614598329,3.0,0.091478305121405,0.028155808461180598
L5_vol_adjusted,4,HOLD_CORE56_PREMAY_UNSTABLE,55,55,2.0279015974196644,1.0,0.0322983788259672,-0.0228980122048836
L0_raw,4,HOLD_CORE56_CONTROL_DOMINATED,43,43,1.0027496144600248,3.0,0.0013256055244109,-0.0006077139167192
L1_xs,4,HOLD_CORE56_CONTROL_DOMINATED,43,43,1.0027496144369743,3.0,0.0013256055288817,-0.0006077139178457
L5_vol_adjusted,8,HOLD_CORE56_CONTROL_DOMINATED,41,41,1.0133181903063624,3.0,0.0985627398869479,0.0309729573834909
L0_raw,8,HOLD_CORE56_CONTROL_DOMINATED,38,38,1.0237068390299837,3.0,0.0022031593805243,-0.0005852407306015999
L1_xs,8,HOLD_CORE56_CONTROL_DOMINATED,38,38,1.0237068150293904,3.0,0.0022031593927826,-0.0005852407392951001
L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED,28,28,1.2057191394664821,3.0,0.2917690857451862,0.0481668532483105
L0_raw,1,HOLD_CORE56_PREMAY_UNSTABLE,27,27,4.1644210452669626,2.0,7.412082653989774e-05,-0.0010506324257621
L1_xs,1,HOLD_CORE56_PREMAY_UNSTABLE,27,27,4.164420955746426,2.0,7.412082823428896e-05,-0.0010506324283336
L0_raw,24,HOLD_CORE56_CONTROL_DOMINATED,26,26,1.0120473860603536,3.0,0.0074098374147409,-0.00021143380716575
L1_xs,24,HOLD_CORE56_CONTROL_DOMINATED,26,26,1.0120473826633072,3.0,0.0074098374165465,-0.00021143380362105
L5_vol_adjusted,1,HOLD_CORE56_PREMAY_UNSTABLE,12,12,3.1727680961212616,2.0,0.0126227682356126,0.002204707055286
L5_vol_adjusted,1,HOLD_CORE56_STALE_LAG_FRAGILE,5,5,0.9990403432545696,3.0,0.0732223550271409,0.0183260817434551
L0_raw,4,HOLD_CORE56_COST5_FRAGILE,3,3,0.9989484026526776,3.0,0.0007421893665876,-0.0002578106334123
L0_raw,8,HOLD_CORE56_COST5_FRAGILE,3,3,0.999458814667656,3.0,0.0008767125159472,-0.0001232874840527
L1_xs,4,HOLD_CORE56_COST5_FRAGILE,3,3,0.9989484025824428,3.0,0.0007421893691637,-0.0002578106308362
L1_xs,8,HOLD_CORE56_COST5_FRAGILE,3,3,0.9994588143056968,3.0,0.0008767125159465,-0.0001232874840534
L0_raw,8,HOLD_CORE56_STALE_LAG_FRAGILE,1,1,0.9971883895079112,3.0,0.0001687398196095,-0.0008312601803904
L0_raw,24,HOLD_CORE56_COST5_FRAGILE,1,1,0.999753087488098,3.0,0.0007430450578111,-0.0002569549421888
L1_xs,8,HOLD_CORE56_STALE_LAG_FRAGILE,1,1,0.9971883891506153,3.0,0.0001687398227496,-0.0008312601772503
L1_xs,24,HOLD_CORE56_COST5_FRAGILE,1,1,0.9997530890321688,3.0,0.0007430450510394,-0.0002569549489605
L5_vol_adjusted,4,HOLD_CORE56_STALE_LAG_FRAGILE,1,1,0.9996151970041204,3.0,0.0146652966588531,0.0136652966588531
L5_vol_adjusted,8,HOLD_CORE56_STALE_LAG_FRAGILE,1,1,0.9923122329839186,3.0,0.0152807298957053,0.0142807298957053
