premay_positive_split_count,premay_sign_pattern,decision,row_count,candidate_count,median_control_ratio,median_positive_split_count,max_recent_spread,median_cost5_recent
0,000,HOLD_CORE56_PREMAY_UNSTABLE,456,114,,0.0,,
3,+++,HOLD_CORE56_CONTROL_DOMINATED,612,107,1.0040075690007302,3.0,0.2917690857451862,-0.00035613250245075
1,+--,HOLD_CORE56_PREMAY_UNSTABLE,247,53,1.6822319075996377,1.0,-4.332902746116269e-05,-0.0029410067839735
0,---,HOLD_CORE56_PREMAY_UNSTABLE,151,52,1.333610399564817,0.0,-6.951465265103261e-05,-0.0076550659091022
2,++-,HOLD_CORE56_PREMAY_UNSTABLE,174,48,2.1459213365218552,2.0,-4.134316620575565e-06,-0.0013257512731301
2,+-+,HOLD_CORE56_PREMAY_UNSTABLE,77,28,2.300744577025743,2.0,0.1940201605225453,0.0005127648318926
2,-++,HOLD_CORE56_PREMAY_UNSTABLE,28,12,2.507444498383757,2.0,0.0767719546440182,-0.0002593615242969
1,--+,HOLD_CORE56_PREMAY_UNSTABLE,41,10,1.8320510858757264,1.0,0.1250696178060069,-0.0004137205636068
1,-+-,HOLD_CORE56_PREMAY_UNSTABLE,15,9,2.3706433984304534,1.0,-6.451534632100437e-05,-0.0010990974050093
3,+++,HOLD_CORE56_STALE_LAG_FRAGILE,9,7,0.9971883895079112,3.0,0.0732223550271409,0.0142807298957053
3,+++,HOLD_CORE56_COST5_FRAGILE,14,5,0.999458814667656,3.0,0.0008767125159472,-0.0002578106308362
