strongest_control_kind,strongest_control_split,decision,row_count,candidate_count,median_control_ratio,median_positive_split_count,max_recent_spread,median_cost5_recent
stale,validation_2025H1,HOLD_CORE56_PREMAY_UNSTABLE,464,114,1.3529627718778985,0.0,0.0028981041373613,-0.00062214931115225
sign_flip,validation_2025H1,HOLD_CORE56_CONTROL_DOMINATED,234,86,1.0088891164617924,3.0,0.0547611074604663,-0.00059070477212755
stale,recent_oos_2026JanApr,HOLD_CORE56_PREMAY_UNSTABLE,380,62,1.5354136940719616,1.0,0.1940201605225453,-0.0026626754523363
sign_flip,test_2025H2,HOLD_CORE56_CONTROL_DOMINATED,142,45,1.0,3.0,0.0455553101951965,-0.0005222595089431
sign_flip,recent_oos_2026JanApr,HOLD_CORE56_CONTROL_DOMINATED,170,42,1.0031923138636567,3.0,0.1176433597956052,0.0008005356748315
sign_flip,validation_2025H1,HOLD_CORE56_PREMAY_UNSTABLE,78,31,2.3281484908504986,2.0,0.0233606579834744,-0.00109091791442345
sign_flip,recent_oos_2026JanApr,HOLD_CORE56_PREMAY_UNSTABLE,61,23,1.5101344267928394,2.0,0.1250696178060069,-0.000319978780326
time_shuffle,test_2025H2,HOLD_CORE56_PREMAY_UNSTABLE,51,21,1.9041511114867,1.0,0.0480426129565952,-0.0009967977105526
stale,test_2025H2,HOLD_CORE56_PREMAY_UNSTABLE,31,21,1.6430256796161258,1.0,0.0295007098748485,-0.0946251193472297
stale,recent_oos_2026JanApr,HOLD_CORE56_CONTROL_DOMINATED,38,17,1.233211666237938,3.0,0.0862278162492613,0.00086271988218595
sign_flip,test_2025H2,HOLD_CORE56_PREMAY_UNSTABLE,34,15,2.4768485473613273,2.0,0.0135552225603145,-0.0010460491601913
time_shuffle,recent_oos_2026JanApr,HOLD_CORE56_PREMAY_UNSTABLE,43,14,2.3573772780388915,1.0,0.0203864014333891,-0.001527678195756
symbol_shuffle,recent_oos_2026JanApr,HOLD_CORE56_PREMAY_UNSTABLE,23,11,5.043081955741771,2.0,8.475407625403981e-05,-0.0016623648972452
symbol_shuffle,test_2025H2,HOLD_CORE56_PREMAY_UNSTABLE,17,10,4.72591301198216,2.0,0.0767719546440182,-0.0002352820197946
time_shuffle,test_2025H2,HOLD_CORE56_CONTROL_DOMINATED,8,7,2.559241026812553,3.0,0.2917690857451862,0.027005921742061602
time_shuffle,recent_oos_2026JanApr,HOLD_CORE56_CONTROL_DOMINATED,9,6,2.5941459456966225,3.0,0.0169946839391383,-0.0007359403077995
stale,test_2025H2,HOLD_CORE56_CONTROL_DOMINATED,7,6,1.5224786339018654,3.0,0.2837573929711332,0.0184493612761211
sign_flip,recent_oos_2026JanApr,HOLD_CORE56_COST5_FRAGILE,12,4,0.9994588144866764,3.0,0.0008767125159472,-0.00025781063212425
sign_flip,validation_2025H1,HOLD_CORE56_STALE_LAG_FRAGILE,4,4,0.9965783177119945,3.0,0.022887912837144,0.01771646268402545
time_shuffle,validation_2025H1,HOLD_CORE56_PREMAY_UNSTABLE,7,3,2.987302630335176,2.0,0.0259797096343641,-0.0010433290274611
sign_flip,test_2025H2,HOLD_CORE56_STALE_LAG_FRAGILE,4,2,0.9971883893292632,3.0,0.0152807298957053,0.0064170182408014
symbol_shuffle,test_2025H2,HOLD_CORE56_CONTROL_DOMINATED,2,2,2.382908193155499,3.0,0.0473666412503264,0.0356035515986584
sign_flip,test_2025H2,HOLD_CORE56_COST5_FRAGILE,2,1,0.9997530882601333,3.0,0.0007430450578111,-0.00025695494557465004
sign_flip,recent_oos_2026JanApr,HOLD_CORE56_STALE_LAG_FRAGILE,1,1,0.9995448162663296,3.0,0.0732223550271409,0.0722223550271409
symbol_shuffle,recent_oos_2026JanApr,HOLD_CORE56_CONTROL_DOMINATED,1,1,42.88787610510135,3.0,0.0028465074467244,0.0018465074467244
time_shuffle,validation_2025H1,HOLD_CORE56_CONTROL_DOMINATED,1,1,1.0944173035966471,3.0,0.011208067946795,0.010208067946795
