fold_id,n,min_effective_sample_rate,p05_effective_sample_rate,median_effective_sample_rate,share_below_60pct,pass
F0_validation_2025H1,4296,0.7672253258845437,0.7818901303538175,0.8943202979515829,0.0,True
F0_recent_2025H2_2026Apr,7248,0.8620309050772627,0.8707229580573952,0.9373620309050773,0.0,True
F1_high_realized_vol,3463,0.7112330349408028,0.7294253537395322,0.8688997978631244,0.0,True
F2_low_liquidity,3463,0.7112330349408028,0.7294253537395322,0.8688997978631244,0.0,True
F3_high_liquidity_high_vol,3341,0.700688416641724,0.7195450463932954,0.8641125411553428,0.0,True
F4_basis_dislocation,3463,0.7112330349408028,0.7294253537395322,0.8688997978631244,0.0,True
F5_funding_neutral,5775,0.8268398268398268,0.8377489177489178,0.9213852813852814,0.0,True
F6_cross_symbol_dispersion,3463,0.7112330349408028,0.7294253537395322,0.8688997978631244,0.0,True
F7_trend_reversal,4178,0.7606510292005745,0.7757300143609382,0.8913355672570608,0.0,True
F8_low_vol_high_liquidity,478,0.0,0.0,0.0502092050209205,0.8396339416503906,False
F9_liquidity_shock,2886,0.6534996534996536,0.6753291753291754,0.8426888426888427,0.0,True
F10_volatility_compression,4041,0.7525365008661222,0.7681267013115566,0.8876515713932195,0.0,True
F11_cross_symbol_crowding,3463,0.7112330349408028,0.7294253537395322,0.8688997978631244,0.0,True
