replay_candidate_id,family_id,positive_net_count,control_clean_count,median_control_ratio,median_net_spread,max_tstat,eval_rows,orientation_repair_candidate,control_repair_candidate
a7ffcore33_006,F1b_taker_flow_market_panel,18,12,2.7907776289991846,-3.60091496167929e-06,11.33567855785343,1916135,False,True
a7ffcore33_010,F2a_basis_funding_independent,16,17,1.0385686659976738,-6.388359500338537e-05,5.964117346705358,437875,False,True
a7ffcore33_005,F2a_basis_funding_independent,16,12,3.540482312839365,-1.992304765812783e-05,12.863598791484376,1916135,False,True
a7ffcore33_001,F1b_taker_flow_market_panel,15,17,1.0358255518003392,-4.018087625577722e-05,6.17149347261071,439068,False,True
a7ffcore33_002,F2a_basis_funding_independent,15,17,1.050658921522364,-6.496141988358503e-05,6.113143897020975,439068,False,True
a7ffcore33_011,F2a_basis_funding_independent,14,12,3.479009297915681,-4.836807666550096e-05,8.177916259338884,1923659,False,True
a7ffcore33_012,F1b_taker_flow_market_panel,14,12,4.150598034282392,-6.798421740187626e-05,6.893908835228704,1923659,False,True
a7ffcore33_013,F2a_basis_funding_independent,14,12,5.664742054606835,-9.481163535083647e-05,6.869859645539487,1920858,False,True
a7ffcore33_014,F1b_taker_flow_market_panel,11,17,1.0584900179985393,-0.0001208158551256,6.0254203269259925,437875,False,False
a7ffcore33_004,F2a_basis_funding_independent,10,18,1.004011275372121,-0.0003551191793001,6.065219122028641,439068,False,False
a7ffcore33_009,F2a_basis_funding_independent,10,13,1.61747196088155,-0.0004972376066859,4.096260336746361,438716,False,False
a7ffcore33_016,F1a_aggtrades_flow_microstructure,9,22,0.6729727222451747,-0.0001462255551093,5.925322008845833,105192,True,False
a7ffcore33_008,F1a_aggtrades_flow_microstructure,8,22,0.7473794226608086,-0.0001635994710012,4.129313517184998,105192,True,False
a7ffcore33_020,F1a_aggtrades_flow_microstructure,8,20,0.5810480081687563,-0.0001835656653333,4.2079290468063295,105240,True,False
a7ffcore33_017,F1a_aggtrades_flow_microstructure,7,19,0.8988198992951648,-0.0001954107643434,4.257644070857472,105240,True,False
a7ffcore33_018,F1a_aggtrades_flow_microstructure,7,18,0.9767373218564332,-0.0001638130637918,4.851960561010789,105000,True,False
a7ffcore33_015,F1a_aggtrades_flow_microstructure,5,20,0.7145345313651836,-0.0002201815300334,4.489308406474672,105192,True,False
a7ffcore33_007,F1a_aggtrades_flow_microstructure,4,14,1.587434630562623,-0.0002182806763378,2.9143150195163816,105000,False,False
a7ffcore33_000,F1b_taker_flow_market_panel,4,12,10.541248136514664,-0.0001385332054356,6.748167925456406,1925221,False,False
a7ffcore33_019,F1b_taker_flow_market_panel,3,13,2.2673047235558377,-0.0009291424160923,0.8098000452331037,438716,False,False
a7ffcore33_003,F2a_basis_funding_independent,1,11,6.3504400708474265,-0.0001725805492153,1.553923929848041,1920108,False,False
