semantic_pair,motif,label_family,selected_rows
open_interest_like|positioning_like|listing_age_like,seed_sub,L7_ranked_future_return,68
open_interest_like|positioning_like|regime_state,seed_gated_sign,L3_liquidity_tier_relative_return,55
basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,36
basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,26
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,25
basis_premium_like|positioning_like,signed_spread,L5_vol_adjusted_return,15
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L7_ranked_future_return,14
basis_premium_like|positioning_like,sub,L5_vol_adjusted_return,13
open_interest_like|positioning_like,smooth_mul,L5_vol_adjusted_return,12
basis_premium_like|positioning_like,mean_reversion_gate,L5_vol_adjusted_return,11
open_interest_like|positioning_like,safe_div_abs,L7_ranked_future_return,7
basis_premium_like|positioning_like,spread_rank,L7_ranked_future_return,3
open_interest_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,3
open_interest_like|positioning_like|regime_state,seed_gated_sign,L7_ranked_future_return,3
