feature_name,feature_group,definition,purpose,timing_rule
listing_age_hours,age,timestamp - first_observed_trade_timestamp,row-local observable after listing,past_only
listing_age_days,age,listing_age_hours / 24,row-local observable after listing,past_only
log1p_listing_age_days,age_transform,log1p(listing_age_days),nonlinear age transform,past_only
sqrt_listing_age_days,age_transform,sqrt(listing_age_days),nonlinear age transform,past_only
age_bucket_dynamic,age_transform,"<30d, 30-90d, 90-180d, 180-365d, >=365d",diagnostic bucket only; not final state,past_only
age_percentile_active_universe,age_transform,cross-sectional percentile among active symbols at timestamp,observable active cross-section; proof caveat from current universe,timestamp_cross_section
history_length_hours,coverage,available rows since first observed timestamp,past coverage proxy,past_only
rolling_coverage_168h,coverage,source flags complete over trailing 168h,data quality state,past_only
gap_hours_recent_168h,coverage,missing hours over trailing 168h,data quality state,past_only
median_quote_volume_168h,liquidity,rolling median trade_quote_volume,liquidity state,past_only
log_quote_volume_168h,liquidity,log1p(median_quote_volume_168h),liquidity transform,past_only
liquidity_rank_active_universe,liquidity,cross-sectional rank of rolling quote volume,active universe liquidity tier,timestamp_cross_section
trade_count_168h,activity,rolling mean/sum trade_count,activity state,past_only
realized_vol_24h,volatility,std of trade_return_1h over trailing 24h,volatility state,past_only
realized_vol_72h,volatility,std of trade_return_1h over trailing 72h,volatility state,past_only
realized_vol_168h,volatility,std of trade_return_1h over trailing 168h,volatility state,past_only
volume_volatility_ratio_168h,interaction,log_quote_volume_168h / realized_vol_168h,liquidity-volatility state,past_only
funding_rate_abs_168h,funding,rolling mean abs(funding_rate),crowding/funding state,past_only
funding_rate_mean_168h,funding,rolling mean funding_rate,funding direction state,past_only
basis_abs_168h,basis,rolling mean abs(mark_index_basis_bps),basis dislocation state,past_only
premium_abs_168h,basis,rolling mean abs(premium_close_bps),premium dislocation state,past_only
open_interest_change_24h,positioning,pct/log change of open_interest_last,positioning state,past_only
oi_x_price_move_24h,interaction,open_interest_change_24h * trade_return_24h,crowding/positioning interaction,past_only
age_x_liquidity,interaction,log1p_listing_age_days * liquidity_rank/state,age-liquidity interaction,past_only
age_x_volatility,interaction,log1p_listing_age_days * realized_vol_168h,age-volatility interaction,past_only
age_x_funding_abs,interaction,log1p_listing_age_days * funding_rate_abs_168h,age-funding interaction,past_only
is_major,symbol_static,BTC/ETH/BNB/SOL/XRP style major flag,static symbol tier,known_at_symbol_selection
is_core12,symbol_static,legacy audited core12 flag,static evidence layer,known_at_symbol_selection
contract_format,symbol_static,plain vs multiplier contract,contract normalization risk,known_at_symbol_selection
