priority,field_family,fixed_transform,search_allowed_in_a7al1,baseline_smoke_allowed,requires_plus2h_stress,requires_negative_controls,requires_latent_neutral,requires_meme_multiplier_attribution
P0,open_interest,level,False,True,True,True,True,False
P0,open_interest,change_1h,False,True,True,True,True,False
P0,open_interest,change_4h,False,True,True,True,True,False
P0,open_interest,change_24h,False,True,True,True,True,False
P0,open_interest,zscore_168h,False,True,True,True,True,False
P0,open_interest,cross_sectional_percentile,False,True,True,True,True,False
P1,long_short_positioning,level,False,True,True,True,True,False
P1,long_short_positioning,change_4h,False,True,True,True,True,False
P1,long_short_positioning,change_24h,False,True,True,True,True,False
P1,long_short_positioning,zscore_168h,False,True,True,True,True,False
P1,long_short_positioning,rank,False,True,True,True,True,False
P2,taker_buy_sell_volume_ratio,level,False,True,True,True,True,False
P2,taker_buy_sell_volume_ratio,change_4h,False,True,True,True,True,False
P2,taker_buy_sell_volume_ratio,zscore_168h,False,True,True,True,True,False
P2,taker_buy_sell_volume_ratio,rank,False,True,True,True,True,False
P3,premium_basis,level,False,True,True,True,True,False
P3,premium_basis,abs,False,True,True,True,True,False
P3,premium_basis,change_4h,False,True,True,True,True,False
P3,premium_basis,zscore_168h,False,True,True,True,True,False
P3,premium_basis,ts_rank,False,True,True,True,True,False
P4,funding,level,False,True,True,True,True,False
P4,funding,abs,False,True,True,True,True,False
P4,funding,persistence,False,True,True,True,True,False
P4,funding,zscore_168h,False,True,True,True,True,False
P4,funding,rank,False,True,True,True,True,False
P5,price_volatility_interaction,ret_x_vol,False,True,True,True,True,False
P5,price_volatility_interaction,range_state,False,True,True,True,True,False
P5,price_volatility_interaction,vol_compression,False,True,True,True,True,False
P5,price_volatility_interaction,cross_sectional_percentile,False,True,True,True,True,False
P6,liquidity_volume,level,False,True,True,True,True,False
P6,liquidity_volume,shock,False,True,True,True,True,False
P6,liquidity_volume,persistence,False,True,True,True,True,False
P6,liquidity_volume,zscore_168h,False,True,True,True,True,False
P6,liquidity_volume,rank,False,True,True,True,True,False
P7,listing_age_latent_interaction,age_x_liquidity,False,True,True,True,True,True
P7,listing_age_latent_interaction,age_x_volatility,False,True,True,True,True,True
P7,listing_age_latent_interaction,latent_state_interaction,False,True,True,True,True,True
P8,meme_multiplier_neutralization_diagnostic,meme_neutral_rank,False,True,True,True,True,True
P8,meme_multiplier_neutralization_diagnostic,multiplier_exposure_report,False,True,True,True,True,True
P8,meme_multiplier_neutralization_diagnostic,strata_attribution,False,True,True,True,True,True
