field_name,source_class,source_detail,event_time,source_update_time,observable_time,feature_available_time_primary,execution_time_primary,latency_class,primary_execution_lag,required_latency_audit,must_lag_by_one_bar,fixed_delay_stress_required,same_bar_execution_allowed,pit_status,caveat
funding_interval_hours,funding,Binance funding event observed in 1h,funding event timestamp if present in 1h bucket,Binance fundingRate archive event/publication timing,only after event is known and 1h bucket is closed,timestamp + 1h,timestamp + 1h / next 1h bar open,funding,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,sparse event field; never use next funding as signal
funding_rate,funding,Binance funding event observed in 1h,funding event timestamp if present in 1h bucket,Binance fundingRate archive event/publication timing,only after event is known and 1h bucket is closed,timestamp + 1h,timestamp + 1h / next 1h bar open,funding,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,sparse event field; never use next funding as signal
global_long_short_account_ratio_last,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
global_long_short_account_ratio_mean,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
index_close,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
index_high,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
index_low,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
index_open,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
mark_close,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
mark_high,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
mark_index_basis_bps,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
mark_low,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
mark_open,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
mark_trade_basis_bps,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
open_interest_last,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
open_interest_mean,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
open_interest_value_last,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
