source_token,selected_count,selected_share,strict_eligible_count,strict_eligible_share
basis_premium_like,70,0.5691056910569106,261,0.7933130699088146
price_like,31,0.25203252032520324,60,0.182370820668693
positioning_like,30,0.24390243902439024,73,0.22188449848024316
taker_flow_like,19,0.15447154471544716,29,0.08814589665653495
liquidity_like,18,0.14634146341463414,40,0.12158054711246201
listing_age_like,15,0.12195121951219512,54,0.1641337386018237
regime_state,12,0.0975609756097561,15,0.04559270516717325
open_interest_like,12,0.0975609756097561,22,0.0668693009118541
funding_state_like,9,0.07317073170731707,26,0.0790273556231003
volatility_like,6,0.04878048780487805,28,0.0851063829787234
