field,present,source
age_x_liquidity,True,loaded
age_x_volatility,True,loaded
global_long_short_account_ratio_last,True,loaded
global_long_short_account_ratio_mean,True,loaded
index_close,True,loaded
liquidity_rank_active_universe,True,loaded
log_quote_volume_168h,True,loaded
mark_close,True,loaded
mark_high,True,loaded
mark_index_basis_bps,True,loaded
mark_low,True,loaded
median_quote_volume_168h,True,loaded
open_interest_change_24h,True,loaded
open_interest_last,True,loaded
open_interest_mean,True,loaded
open_interest_value_last,True,loaded
open_interest_value_mean,True,loaded
realized_vol_168h,True,loaded
realized_vol_24h,True,loaded
taker_buy_quote_volume,True,loaded
taker_buy_sell_volume_ratio_last,True,loaded
taker_buy_sell_volume_ratio_mean,True,loaded
taker_buy_volume,True,loaded
top_long_short_account_ratio_last,True,loaded
top_long_short_account_ratio_mean,True,loaded
trade_close,True,loaded
trade_count,True,loaded
trade_count_168h,True,loaded
trade_high,True,loaded
trade_low,True,loaded
trade_quote_volume,True,loaded
trade_return_1h,True,loaded
trade_return_24h,True,loaded
trade_volume,True,loaded
volume_volatility_ratio_168h,True,loaded
