preflight_candidate_id,numeric_probe_id,family_id,max_abs_ic,max_abs_spread,min_control_ratio,non_l7_clean_rows,l7_clean_rows,eval_rows
a7ffcore32_008,a7ffcore30_0134,F1b_taker_flow_market_panel,0.04060948167047573,0.101315438747406,0.5136614236395354,12,3,337260
a7ffcore32_012,a7ffcore30_0094,F1b_taker_flow_market_panel,0.01856178589160638,0.13667835295200348,0.01414135448519462,12,3,66348
a7ffcore32_020,a7ffcore30_0201,F2a_basis_funding_independent,0.01759776783366755,0.07858607172966003,0.21019489647389303,12,3,66348
a7ffcore32_021,a7ffcore30_0187,F2a_basis_funding_independent,0.015963631323242466,0.08359750360250473,0.2149638788184157,12,3,336973
a7ffcore32_017,a7ffcore30_0163,F2a_basis_funding_independent,0.015297765811421874,0.07655525952577591,0.18012287562606066,12,3,66348
a7ffcore32_018,a7ffcore30_0195,F2a_basis_funding_independent,0.011841716482089686,0.06965478509664536,0.4182072934564377,12,3,335886
a7ffcore32_014,a7ffcore30_0123,F1b_taker_flow_market_panel,0.011229496975500032,0.058490920811891556,0.6580190206315328,12,3,335886
a7ffcore32_007,a7ffcore30_0051,F1a_aggtrades_flow_microstructure,0.016754122406241422,0.21573248505592346,0.013691496761648981,11,3,11841
a7ffcore32_005,a7ffcore30_0041,F1a_aggtrades_flow_microstructure,0.02087602083208815,0.09282378852367401,0.1794453873079967,8,2,11853
a7ffcore32_022,a7ffcore30_0233,F2a_basis_funding_independent,0.013784438699268925,0.05958465114235878,0.16144830163881152,8,2,66305
a7ffcore32_019,a7ffcore30_0222,F2a_basis_funding_independent,0.010167281299803141,0.03181144595146179,0.5544706956430997,8,2,66201
a7ffcore32_023,a7ffcore30_0203,F2a_basis_funding_independent,0.007748440920319408,0.055921681225299835,0.23784298317964167,8,2,337441
a7ffcore32_010,a7ffcore30_0113,F1b_taker_flow_market_panel,0.004202301214630484,0.030961506068706512,0.3841079155791088,8,2,337441
a7ffcore32_016,a7ffcore30_0183,F2a_basis_funding_independent,0.00338078559844538,0.031122051179409027,0.32918844031253475,8,2,337089
a7ffcore32_013,a7ffcore30_0095,F1b_taker_flow_market_panel,0.011041755549781677,0.0765058696269989,0.6720457148256772,7,2,66201
a7ffcore32_004,a7ffcore30_0011,F1a_aggtrades_flow_microstructure,0.008896888770520417,0.04145537316799164,0.6159145418948989,5,1,12045
a7ffcore32_001,a7ffcore30_0031,F1a_aggtrades_flow_microstructure,0.014856681717042231,0.03534515202045441,0.0791233048045327,4,1,12045
a7ffcore32_000,a7ffcore30_0028,F1a_aggtrades_flow_microstructure,0.012535212696939408,0.06937932968139648,0.010425911716894354,4,1,11853
a7ffcore32_002,a7ffcore30_0014,F1a_aggtrades_flow_microstructure,0.01217498734332223,0.04806513339281082,0.15552156128776612,4,1,12033
a7ffcore32_015,a7ffcore30_0138,F1b_taker_flow_market_panel,0.009423955314864386,0.12285623699426651,0.10508176557708512,4,1,66305
a7ffcore32_003,a7ffcore30_0008,F1a_aggtrades_flow_microstructure,0.008076322720451078,0.0699416995048523,0.022992672909740816,4,1,12045
