semantic_pair,motif,label_rows,unique_blueprints,rank_label_rows,non_l7_rows,selected_blueprint_rows,median_control_ratio,median_cost10,selected_rate_vs_rank,non_l7_rate_vs_selected_rows
basis_premium_like|volatility_like,spread_rank,1160,58,50,0,120,9.206837727488073,-0.00209863778350055,2.4,0.0
basis_premium_like|price_like,spread_rank,1020,51,65,0,80,4.14689343411977,-0.0021246351474224,1.2307692307692308,0.0
basis_premium_like|price_like,mul,580,29,43,1,80,5.089292773303825,-0.0017741334537952,1.8604651162790697,0.0125
basis_premium_like|price_like,smooth_mul,1420,71,27,0,60,6.247320093176359,-0.0019623464618858,2.2222222222222223,0.0
basis_premium_like|basis_premium_like,smooth_mul,1020,51,20,0,60,7.814443359043727,-0.00207858298641165,3.0,0.0
price_like,single,60,3,9,0,60,1.3414301496264804,-0.00110767934248475,6.666666666666667,0.0
basis_premium_like|basis_premium_like,spread_rank,580,29,14,0,40,4.249275423674333,-0.0016200099650323999,2.857142857142857,0.0
basis_premium_like|basis_premium_like,mul,340,17,6,0,40,5.623860565512894,-0.0017411561590027,6.666666666666667,0.0
basis_premium_like|volatility_like,smooth_mul,440,22,6,0,40,9.956896043022297,-0.00198460101559515,6.666666666666667,0.0
volatility_like,single,280,14,6,0,40,6.671388033575323,-0.0024901463517452,6.666666666666667,0.0
volatility_like|volatility_like,smooth_mul,180,9,6,0,40,7.798167979362971,0.006354847458374,6.666666666666667,0.0
basis_premium_like|price_like,gated_sign,660,33,33,0,20,5.204624943547961,-0.0018815571900787,0.6060606060606061,0.0
price_like|volatility_like,smooth_mul,280,14,17,0,20,7.7099286531289755,-0.0019742649440828,1.1764705882352942,0.0
price_like|volatility_like,gated_sign,80,4,8,0,20,5.585379654966665,-0.0020904863303159,2.5,0.0
basis_premium_like|volatility_like,gated_sign,720,36,6,0,20,8.676880513752504,-0.0019691954550069,3.3333333333333335,0.0
basis_premium_like|basis_premium_like,sub,200,10,5,0,20,3.5809680935612493,-0.00110382504460775,4.0,0.0
basis_premium_like|price_like,safe_div_abs,420,21,4,3,20,5.171622592902526,-0.001880000857863,5.0,0.15
volatility_like|volatility_like,mul,20,1,4,0,20,7.1375495765053545,0.00552923563414265,5.0,0.0
basis_premium_like|volatility_like,mul,700,35,3,1,20,8.959267496385424,-0.0014231857631586,6.666666666666667,0.05
price_like|volatility_like,mul,100,5,3,0,20,4.125060138471396,-0.0016403755361244,6.666666666666667,0.0
basis_premium_like,single,720,36,1,0,20,4.32793935222146,-0.0022996337573287,20.0,0.0
volatility_like|volatility_like,gated_sign,20,1,1,0,20,5.672081386906051,0.0002530331716609,20.0,0.0
basis_premium_like|basis_premium_like,gated_sign,300,15,2,0,0,5.395552273891125,-0.0018971751522724,0.0,
basis_premium_like|basis_premium_like,safe_div_abs,200,10,2,0,0,4.948352151170102,-0.0028133826363958,0.0,
basis_premium_like|price_like,sub,500,25,0,1,0,6.936242479305006,-0.0012030968282348,,
basis_premium_like|volatility_like,safe_div_abs,60,3,0,0,0,3.919422373774605,-0.004275848849715,,
basis_premium_like|volatility_like,sub,260,13,0,0,0,9.184523721189827,-0.0013576777384146,,
price_like|volatility_like,spread_rank,380,19,0,0,0,10.177759841849259,-0.0015054825407059,,
price_like|volatility_like,sub,20,1,0,0,0,2.11604294322459,-0.0023223548506704,,
volatility_like|volatility_like,safe_div_abs,20,1,0,0,0,44.640569890162496,0.00514583021502465,,
volatility_like|volatility_like,spread_rank,180,9,0,0,0,27.5213698391252,-0.0019738780689429,,
volatility_like|volatility_like,sub,20,1,0,0,0,60.61988042802917,-0.0018278013287093,,
