family,control_mode,control_research_like,count
G0_basis_premium_dynamic,row_shuffle,False,16
G0_basis_premium_dynamic,sign_flip,False,16
G0_basis_premium_dynamic,time_shuffle,False,16
G0_basis_premium_dynamic,wrong_lag_stale_24h,False,16
G1_crowding_x_basis_dynamic,row_shuffle,False,24
G1_crowding_x_basis_dynamic,sign_flip,False,24
G1_crowding_x_basis_dynamic,time_shuffle,False,24
G1_crowding_x_basis_dynamic,wrong_lag_stale_24h,False,24
G2_oi_dynamic_x_basis_dynamic,row_shuffle,False,18
G2_oi_dynamic_x_basis_dynamic,sign_flip,False,17
G2_oi_dynamic_x_basis_dynamic,sign_flip,True,1
G2_oi_dynamic_x_basis_dynamic,time_shuffle,False,18
G2_oi_dynamic_x_basis_dynamic,wrong_lag_stale_24h,False,18
G3_crowding_x_context,row_shuffle,False,24
G3_crowding_x_context,sign_flip,False,24
G3_crowding_x_context,time_shuffle,False,24
G3_crowding_x_context,wrong_lag_stale_24h,False,24
G4_oi_change_x_context,row_shuffle,False,6
G4_oi_change_x_context,sign_flip,False,4
G4_oi_change_x_context,sign_flip,True,2
G4_oi_change_x_context,time_shuffle,False,6
G4_oi_change_x_context,wrong_lag_stale_24h,False,6
G5_funding_basis_benchmark,row_shuffle,False,4
G5_funding_basis_benchmark,sign_flip,False,4
G5_funding_basis_benchmark,time_shuffle,False,4
G5_funding_basis_benchmark,wrong_lag_stale_24h,False,4
