feature_level,feature_family,candidate_fields_or_transforms,economic_role,pit_rule,train_fit_rule,expected_failure_mode,negative_control,allowed_in_a7al1_baseline,allowed_in_a7al2_formula_search
L0_raw_source,trade_ohlcv,"trade OHLCV, taker buy quote share",market price/liquidity base,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,"same-bar leakage, beta dominance","wrong_lag_future,row_shuffle",True,False
L0_raw_source,mark_index_premium,mark/index/premium OHLC and basis bps,basis/premium state,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,future basis semantic misuse,"wrong_lag_future,symbol_shuffle",True,False
L0_raw_source,funding,"funding_rate, funding_interval_hours",funding state/exposure,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,"next funding leakage, funding baseline packaging","wrong_lag_future,sign_flip",True,False
L0_raw_source,metrics_positioning,"OI, OI value, long-short ratios, taker ratio",positioning/crowding state,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,"vendor 5m jitter, +2h fragility","wrong_lag_future,time_shuffle",True,False
L1_single_source_derived,price_return,"trade_return_1h/24h, ranges",past price state,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,momentum beta packaging,"sign_flip,row_shuffle",True,False
L1_single_source_derived,liquidity,"rolling volume, trade count, liquidity rank",liquidity expansion/contraction,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,liquidity/age bias,"symbol_shuffle,same_family_placebo",True,False
L1_single_source_derived,volatility,realized_vol 24/72/168h,risk state,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,vol beta dominance,"sign_flip,time_shuffle",True,False
L1_single_source_derived,funding_abs,funding abs/mean rolling states,funding crowding,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,funding baseline dominance,"wrong_lag_future,sign_flip",True,False
L1_single_source_derived,basis_premium_abs,"basis_abs_168h, premium_abs_168h",basis dislocation,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,premium timestamp mismatch,"wrong_lag_future,symbol_shuffle",True,False
L1_single_source_derived,open_interest_change,open_interest_change_1/4/24h,leverage flow,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,positioning publication lag,"wrong_lag_future,time_shuffle",True,False
L2_cross_source_interaction,oi_x_price,OI change x price move,leverage-flow pressure,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,market beta packaging,"sign_flip,wrong_lag_future",True,False
L2_cross_source_interaction,funding_x_basis,funding abs x basis dislocation,crowded carry state,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,FundingCore packaging,"same_family_placebo,wrong_lag_future",True,False
L2_cross_source_interaction,volume_x_volatility,liquidity x realized vol with cap,activity stress state,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,liquidity-vol cluster collapse,"cluster_cap,symbol_shuffle",True,False
L2_cross_source_interaction,positioning_x_trend,long-short ratios x trend/reversal,crowding trend state,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,ratio direction semantic error,"sign_flip,wrong_lag_future",True,False
L2_cross_source_interaction,premium_x_market_state,premium dislocation x market trend/vol,basis stress interaction,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,state overfit,"time_shuffle,same_family_placebo",True,False
L3_cross_sectional_state,rank_percentile,timestamp rank/zscore/percentile,relative value/state expression,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,future universe/survivorship,"symbol_shuffle,row_shuffle",True,False
L3_cross_sectional_state,dispersion_breadth,cross-sectional dispersion and breadth,market regime state,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,using label-period breadth,"wrong_lag_future,time_shuffle",True,False
L3_cross_sectional_state,tier_relative,liquidity/age/meme tier relative values,neutralized cross-section,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,small-group noise,small_group_fallback_audit,True,False
L4_upper_regime_state,market_beta,market trend/vol/breadth,top-level market regime,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,market direction overfit,train_only_threshold_audit,True,False
L4_upper_regime_state,leverage_crowding,market OI/funding/positioning aggregate,system leverage state,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,funding baseline packaging,train_only_threshold_audit,True,False
L4_upper_regime_state,meme_listing_cycle,"meme risk, listing pressure",lifecycle/tail regime,+1h primary; +2h conservative stress mandatory,train-only thresholds for ranks/regime; rolling past-only otherwise,May-style stress overfit,train_only_threshold_audit,True,False
